Ref,Qty,Qty3,Description,Digikey PN
J1,1,3,CONN TERM SCREW GREEN 2.54MM 5POS TH,ED10564-ND
R1 R2 R3 R4,4,12,PHOTOCELL 3K-11K OHM 5.10MM,PDV-P8001-ND
