Ref,Qty1,Qty3,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,MF_Name,MF_PN,S1_Name,S1_PN,Type
J1,1,3,CONN-ONSHORE-SCREW-GREEN-5PIN-TH,Wickerlib,CONN-TERM-SCREW-GREEN-2.54MM-5POS-TH,wickerlib,http://www.on-shore.com/sites/default/files/manuals/ostvnxxa150.pdf,OnShoreTech,OSTVN05A150,Digikey,ED10564-ND,
R1 R2 R3 R4,4,12,PHOTOCELL-5.1MM,Wickerlib,PHOTOCELL-3-11KOHM-5.10MM-PDV-P8001,wickerlib,http://advancedphotonix.com/wp-content/uploads/PDV-P8001.pdf,Luna Opto,PDV-P8001,Digikey,PDV-P8001-ND,
