Ref,Qty,Description,MF,MF_PN,S1,S1_PN,Type
J1,1,CONN TERM SCREW GREEN 2.54MM 5POS TH,OnShoreTech,OSTVN05A150,Digikey,ED10564-ND,
R1 R2 R3 R4,4,PHOTOCELL 3K-11K OHM 5.10MM,Luna Opto,PDV-P8001,Digikey,PDV-P8001-ND,
