Refdes,Quantity,Description,Manufacturer,MPN
J1,1,CONN TERM SCREW GREEN 2.54MM 5POS TH,OnShoreTech,OSTVN05A150
R1 R2 R3 R4,4,PHOTOCELL 3K-11K OHM 5.10MM,Luna Opto,PDV-P8001
